order_id,customer_id,order_status,order_purchase_timestamp,product_category,payment_method,installments,item_price_usd,shipping_cost_usd
e481f51cbdc54678b7cc49136f2d6af7,9ef432eb6251297304e76186b10a928d,delivered,2017.10.2 10:56,housewares,credit_card,1.0,5.6981,1.6568
128e10d95713541c87cd1a2e48201934,a20e8105f23924cd00833fd87daa0831,delivered,2017.8.15 18:29,housewares,credit_card,3.0,5.6981,1.4782
0e7e841ddf8f8f2de2bad69267ecfbcf,26c7ac168e1433912a51b924fbd34d34,delivered,2017.8.2 18:24,housewares,credit_card,,5.6981,1.4782
bfc39df4f36c3693ff3b63fcbea9e90a,53904ddbea91e1e92b2b3f1d09a7af86,delivered,2017.10.23 23:26,housewares,boleto,1.0,5.6981,2.679
53cdb2fc8bc7dce0b6741e2150273451,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,2018.7.24 20:41,perfumery,boleto,1.0,22.553,4.3244
40c5e18f7d112b59b3e5113a59a905b3,67407057a7d5ee17d1cd09523f484d13,delivered,2018.6.11 10:25,perfumery,credit_card,3.0,22.781,1.6682
86674ccaee19790309333210917b2c7d,1b338293f35549b5e480b9a3d7bbf3cd,delivered,2018.8.9 11:37,perfumery,credit_card,,,3.5948
f913d229653fdd809c249ed98ab6b754,e1365d7b227b247b6bc0931771885eaf,delivered,2018.4.30 2:18,perfumery,credit_card,4.0,22.781,3.3345
9b85bbefeeacfebc3ff603d20511734f,7f4f07b97783e894fccff9d72e0988b3,delivered,2017.11.27 10:32,perfumery,credit_card,,20.881,3.0799
6164d50a564536f9c8081d0358573bad,ff83b1b9ffb0f2f60273867bb26f671e,delivered,2018.8.12 22:52,perfumery,credit_card,8.0,22.211,1.7727
df972aca1fba0a417674857678e2c4bb,322eae54daccdcbee96799ebd3a67830,delivered,2018.5.21 11:39,perfumery,credit_card,1.0,22.781,2.9868
7c89d1b99dac4362bf2513afd0b14edd,a48acf545fc196fe1a22e67ba443504e,delivered,2018.8.23 21:20,perfumery,boleto,1.0,22.23,3.0248
23450be385c992f3c2a398025c48db20,fa67ad79c559ad64c2831dfb5103a716,delivered,2017.12.16 20:06,perfumery,credit_card,3.0,22.42,1.7138
6552ae78f1de31bcde1fc2cfcab0d25d,ccb212cf6faf1356d9b5509259de0940,delivered,2018.5.17 14:05,perfumery,credit_card,3.0,22.781,
aee682982e18eb4714ce9f97b15af5e2,8858442ea4d5dc5bb9e118e8f728095d,delivered,2018.7.9 18:46,perfumery,boleto,1.0,22.553,
21b966a378471db65c18fa4ca20d6800,f253cdb921536ec2a9ff9a11cab13aea,delivered,2018.8.21 20:34,perfumery,credit_card,2.0,22.211,3.0248
