order_id,customer_id,order_status,order_purchase_timestamp,product_category,payment_method,installments,item_price_usd,shipping_cost_usd
52eb8ce94864a3bb1be410a545f9ed4c,4aa0005ef4b8cb5ce874a4a86b36ed05,delivered,2017.11.24 23:37,bed_bath_table,voucher,1.0,3.401,2.2515
52eb8ce94864a3bb1be410a545f9ed4c,4aa0005ef4b8cb5ce874a4a86b36ed05,delivered,2017.11.24 23:37,bed_bath_table,credit_card,1.0,3.401,9999.0
52eb8ce94864a3bb1be410a545f9ed4c,4aa0005ef4b8cb5ce874a4a86b36ed05,delivered,2017.11.24 23:37,bed_bath_table,voucher,1.0,-9999.0,2.2515
52eb8ce94864a3bb1be410a545f9ed4c,4aa0005ef4b8cb5ce874a4a86b36ed05,delivered,2017.11.24 23:37,bed_bath_table,credit_card,1.0,3.401,2.2515
52eb8ce94864a3bb1be410a545f9ed4c,4aa0005ef4b8cb5ce874a4a86b36ed05,delivered,2017.11.24 23:37,,voucher,1.0,3.401,-9999.0
52eb8ce94864a3bb1be410a545f9ed4c,4aa0005ef4b8cb5ce874a4a86b36ed05,delivered,2017.11.24 23:37,bed_bath_table,credit_card,1.0,3.401,2.2515
251f0a3981c4a8cb853a9cc9d6ba49ad,b68b9ed711961eefc13abb843a2562ce,delivered,2018.5.11 18:40,health_beauty,voucher,1.0,15.1981,2.5004
251f0a3981c4a8cb853a9cc9d6ba49ad,b68b9ed711961eefc13abb843a2562ce,delivered,2018.5.11 18:40,health_beauty,voucher,1.0,15.1981,2.5004
251f0a3981c4a8cb853a9cc9d6ba49ad,b68b9ed711961eefc13abb843a2562ce,delivered,2018.5.11 18:40,health_beauty,,1.0,15.1981,2.5004
251f0a3981c4a8cb853a9cc9d6ba49ad,b68b9ed711961eefc13abb843a2562ce,delivered,2018.5.11 18:40,health_beauty,voucher,1.0,15.1981,2.5004
251f0a3981c4a8cb853a9cc9d6ba49ad,b68b9ed711961eefc13abb843a2562ce,delivered,2018.5.11 18:40,health_beauty,voucher,1.0,15.1981,2.5004
eb188a175542057d90b3ca5628b7b5a0,1eda56b47988d592fec945da9ee88c56,delivered,2017.2.18 23:26,garden_tools,credit_card,4.0,9999.0,2.8253
eb188a175542057d90b3ca5628b7b5a0,1eda56b47988d592fec945da9ee88c56,delivered,2017.2.18 23:26,garden_tools,credit_card,4.0,18.981,2.8253
eb188a175542057d90b3ca5628b7b5a0,1eda56b47988d592fec945da9ee88c56,delivered,2017.2.18 23:26,garden_tools,credit_card,4.0,9999.0,2.8253
eb188a175542057d90b3ca5628b7b5a0,1eda56b47988d592fec945da9ee88c56,delivered,2017.2.18 23:26,garden_tools,credit_card,4.0,18.981,2.8253
eb188a175542057d90b3ca5628b7b5a0,1eda56b47988d592fec945da9ee88c56,delivered,2017.2.18 23:26,garden_tools,,4.0,18.981,2.8253
fb4de3600d359f84927517e78ff9ba54,c33e62b6b6e872a818d2f85f632b5483,delivered,2018.4.19 22:05,,voucher,1.0,0.0,0.0
fb4de3600d359f84927517e78ff9ba54,c33e62b6b6e872a818d2f85f632b5483,delivered,2018.4.19 22:05,furniture_decor,voucher,1.0,13.281,-9999.0
fb4de3600d359f84927517e78ff9ba54,c33e62b6b6e872a818d2f85f632b5483,delivered,2018.4.19 22:05,furniture_decor,voucher,1.0,13.281,0.0
fb4de3600d359f84927517e78ff9ba54,c33e62b6b6e872a818d2f85f632b5483,delivered,2018.4.19 22:05,furniture_decor,voucher,1.0,13.281,0.0
fb4de3600d359f84927517e78ff9ba54,c33e62b6b6e872a818d2f85f632b5483,delivered,2018.4.19 22:05,furniture_decor,voucher,1.0,13.281,0.0
fb4de3600d359f84927517e78ff9ba54,c33e62b6b6e872a818d2f85f632b5483,delivered,2018.4.19 22:05,furniture_decor,voucher,1.0,13.281,0.0
e699db09ff2550edf641974c32caab55,1b2ab6eda1946a6ff386b1ae51431344,delivered,2017.11.24 10:41,furniture_decor,debit_card,1.0,6.2681,2.4111
e699db09ff2550edf641974c32caab55,1b2ab6eda1946a6ff386b1ae51431344,delivered,2017.11.24 10:41,furniture_decor,debit_card,1.0,6.2681,2.4111
e699db09ff2550edf641974c32caab55,1b2ab6eda1946a6ff386b1ae51431344,delivered,2017.11.24 10:41,furniture_decor,debit_card,1.0,6.2681,2.4111
e699db09ff2550edf641974c32caab55,1b2ab6eda1946a6ff386b1ae51431344,delivered,2017.11.24 10:41,,debit_card,1.0,6.2681,2.4111
e699db09ff2550edf641974c32caab55,1b2ab6eda1946a6ff386b1ae51431344,delivered,2017.11.24 10:41,furniture_decor,debit_card,1.0,6.2681,2.4111
e699db09ff2550edf641974c32caab55,1b2ab6eda1946a6ff386b1ae51431344,delivered,2017.11.24 10:41,furniture_decor,debit_card,1.0,6.2681,2.4111
78cf5dc2baadfbac2c47c6ef7c2a2282,bdced1e75dafe66bd70dc84af644bca7,delivered,2018.1.12 16:19,furniture_decor,credit_card,10.0,7.296,2.4111
78cf5dc2baadfbac2c47c6ef7c2a2282,bdced1e75dafe66bd70dc84af644bca7,delivered,2018.1.12 16:19,furniture_decor,credit_card,10.0,7.296,2.4111
78cf5dc2baadfbac2c47c6ef7c2a2282,bdced1e75dafe66bd70dc84af644bca7,delivered,2018.1.12 16:19,furniture_decor,credit_card,10.0,7.296,2.4111
78cf5dc2baadfbac2c47c6ef7c2a2282,bdced1e75dafe66bd70dc84af644bca7,delivered,2018.1.12 16:19,furniture_decor,credit_card,10.0,7.296,2.4111
78cf5dc2baadfbac2c47c6ef7c2a2282,bdced1e75dafe66bd70dc84af644bca7,delivered,2018.1.12 16:19,furniture_decor,credit_card,10.0,7.296,2.4111
78cf5dc2baadfbac2c47c6ef7c2a2282,bdced1e75dafe66bd70dc84af644bca7,delivered,2018.1.12 16:19,furniture_decor,credit_card,10.0,7.296,2.4111
b95abf4aa5b57ad7551356eca72b53fe,f142390d014395d7bf779fca41013d91,delivered,2018.1.16 14:36,furniture_decor,credit_card,4.0,7.296,2.8709
